placeID,corresp,mentions
l2084,0,1
l2085,0,1
l2087,0,1
l2088,0,1
l2089,0,1
l209,3,5
l2090,0,1
l2092,0,3
l2093,0,3
l2094,0,1
l2095,0,1
l2096,0,13
l2097,0,2
l2098,0,1
l2099,0,12
l21,99,797
l210,274,561
l2100,0,16
l2102,0,1
l2103,0,1
l2104,0,1
l2105,0,1
l2106,0,2
l2107,0,3
l2108,0,2
l2109,0,1
l211,2,3
l2110,0,23
l2111,0,1
l2112,0,1
l2114,0,1
l2116,0,2
l2117,0,1
l2118,0,3
l2119,0,1
l212,1,6
l2120,0,3
l2121,0,1
l2122,0,22
l2124,0,1
l2125,0,3
l2126,0,66
l2127,0,2
l2128,0,1
l2129,0,1
l213,0,264
l2130,0,1
l2131,0,42
l2132,0,1
l2133,0,1
l2134,0,1
l2135,0,1
l2136,0,1
l2137,0,5
l2138,0,3
l2139,0,1
l214,1,2
l2140,0,1
l2141,0,1
l2142,0,3
l2143,0,1
l2144,0,2
l2146,0,2
l2147,0,2
l2148,0,1
l2149,0,1
l215,1,4
l2150,0,1
l2151,0,1
l2152,0,1
l2153,0,2
l2154,0,6
l2155,0,1
l2156,0,1
l2158,0,1
l2159,0,1
l216,1,10
l2160,0,3
l2161,0,1
l2162,0,1
l2163,0,1
l2164,0,2
l2165,0,23
l2166,0,1
l2167,0,2
l2168,0,1
l2169,0,1
l217,1,26
l2170,0,1
l2171,0,2
l2172,0,3
l2173,0,1
l2174,0,3
l2175,0,1
l2176,0,3
l2177,0,1
l2178,0,12
l2179,0,1
l218,2,2
l2180,0,22
l2182,0,1
l2183,0,1
l2184,0,1
l2185,0,1
l2187,0,1
l2188,0,1
l2189,0,3
l219,1,3
l2190,0,8
l2191,0,1
l2192,0,1
l2193,0,1
l2194,0,1
l2195,0,3
l2196,0,1
l2197,0,1
l2198,0,2
l2199,0,1
l22,2,2
l2200,0,2
l2201,0,2
l2202,0,5
l2203,0,1
l2204,0,6
l2205,0,1
l2206,0,1
l2207,0,1
l2208,0,1
l2209,0,2
l221,1,1
l2210,0,1
l2211,0,1
l2212,0,1
l2213,0,2
l2214,0,1
l2215,0,4
l2216,0,1
l2217,0,1
l2218,0,1
l2219,0,13
l222,1,13
l2220,0,1
l2221,0,1
l2222,0,1
l2223,0,1
l2224,0,1
l2225,0,3
l2226,0,1
l2227,0,1
l2228,0,1
l2229,0,1
l223,1,1
l2230,0,1
l2231,0,2
l2232,0,1
l2234,0,4
l2235,0,23
l2236,0,1
l2237,0,2
l2238,0,1
l2239,0,1
l2240,0,1
l2241,0,3
l2242,0,1
l2243,0,5
l2244,0,2
l2245,0,8
l2247,0,1
l2248,0,1
l2249,0,1
l225,1,7
l2250,0,1
l2251,0,3
l2252,0,2
l2253,0,3
l2254,0,1
l2256,0,1
l2257,0,1
l2259,0,3
l226,2,5
l2260,0,2
l2261,0,1
l2263,0,1
l2264,0,1
l2265,0,1
l2266,0,1
l2267,0,1
l2268,0,1
l2269,0,1
l2270,0,1
l2271,0,1
l2272,0,1
l2273,0,2
l2274,0,1
l2275,0,2
l2276,0,2
l2277,0,1
l2278,0,1
l2279,0,2
l228,1,6
l2280,0,6
l2282,0,4
l2283,0,11
l2284,0,2
l2285,0,2
l2286,0,10
l2287,0,1
l2288,0,1
l2289,0,3
l229,1,9
l2290,0,1
l2291,0,2
l2292,0,2
l2294,0,3
l2295,0,1
l2296,0,8
l2297,0,2
l2298,0,1
l2299,0,1
l230,1,1
l2300,0,1
l2301,0,3
l2302,0,3
l2303,0,1
l2304,0,1
l2305,0,4
l2308,0,2
l231,1,89
l2311,0,2
l2313,0,9
l2314,0,1
l2315,0,1
l2316,0,1
l2317,0,1
l2318,0,1
l2319,0,1
l232,3,106
l2320,0,2
l2322,0,3
l2323,0,1
l2324,0,1
l2325,0,1
l2326,2,3
l2327,0,2
l2328,0,1
l2329,0,1
l2330,0,3
l2331,0,1
l2332,0,1
l2333,0,3
l2334,0,1
l2335,0,1
l2336,0,1
l2337,0,1
l2339,0,2
l234,7,87
l2340,0,5
l2341,0,1
l2343,0,1
l2344,0,2
l2345,0,3
l2346,0,2
l2347,0,2
l2348,0,4
l2349,0,2
l2350,0,3
l2351,0,4
l2352,0,7
l2354,0,1
l2355,0,1
l2356,0,1
l2357,0,1
l2358,0,2
l2359,0,1
l236,1,1
l2360,0,1
l2361,0,2
l2362,0,1
l2363,0,2
l2364,0,1
l2365,0,1
l2366,0,1
l2367,0,3
l2368,0,1
l2369,0,1
l237,4,4
l2370,0,6
l2371,0,1
l2372,0,1
l2373,0,1
l2374,0,1
l2375,0,1
l2376,0,2
l2377,0,2
l2378,0,1
l2379,0,2
l238,1,1
l2380,0,2
l2382,0,1
l2383,0,3
l2384,0,1
l2385,0,1
l2386,0,1
l2387,0,1
l2388,0,2
l2389,0,1
l239,1,1
l2390,0,1
l2391,0,1
l2392,0,2
l2393,0,1
l2394,0,1
l2395,0,2
l2396,0,22
l2397,0,1
l2398,0,1
l2399,0,3
l24,2,13
l240,1,8
l2401,0,4
l2404,0,6
l2405,0,1
l2406,0,1
l2407,0,3
l2409,0,1
l2410,0,2
l2411,0,2
l2412,0,7
l2413,0,1
l2414,0,3
l2415,0,1
l2416,0,1
l2417,0,1
l2418,0,6
l2419,0,1
l242,52,298
l2420,0,1
l2421,0,1
l2422,0,1
l2423,0,1
l2424,0,3
l2425,0,1
l2426,0,1
l2427,0,1
l2428,0,12
l2429,0,1
l243,1,2
l2430,0,1
l2431,0,1
l2432,0,1
l2433,0,1
l2434,0,3
l2435,0,1
l2436,0,2
l2437,0,1
l2438,0,1
l2439,0,1
l244,28,93
l2440,0,3
l2441,0,3
l2443,0,3
l2444,0,1
l2445,0,9
l2446,0,1
l2448,0,431
l2449,0,143
l245,17,45
l2450,0,167
l2451,0,59
l2453,0,34
l2454,0,9
l2456,0,10
l2457,0,6
l2458,0,1
l2459,0,138
l246,1,1
l2466,0,4
l2467,0,1
l2469,0,94
l247,3,5
l2471,0,9
l2472,0,407
l2477,0,133
l2478,0,268
